Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
136013,Status,2,10,5,3,0,8896,17202,1480,1426,1932,13838,7020,1292,0,129,25,154
136013,Photo,1,10,4,10,1,4018,8617,428,374,616,6677,2992,351,4,77,19,100
136013,Link,1,10,4,3,0,68992,229733,1032,975,1345,17842,8032,635,15,143,44,202
136013,Status,3,10,3,10,0,13152,25666,2543,2438,3179,20547,10280,2278,2,227,36,265
136013,Status,2,10,3,2,1,31136,59964,6164,5934,9237,35977,18048,4376,60,859,90,1009
136013,Photo,3,10,2,10,1,16776,39549,714,440,720,11860,6200,590,10,377,60,447
136013,Photo,1,10,2,3,1,50736,140432,1462,1450,8308,46252,15552,1275,3,41,9,53
136013,Photo,1,10,1,10,1,5324,11040,528,483,861,8627,4054,448,6,76,14,96
136013,Photo,3,10,1,3,0,18120,44940,421,282,463,4401,2616,327,0,189,15,204
135713,Photo,3,10,7,10,0,2291,3960,303,243,325,3020,1723,253,0,80,14,94
135713,Status,2,10,7,4,0,10744,20691,1967,1877,2201,17502,8964,1834,3,148,28,179
135713,Link,1,10,6,11,1,3616,6887,111,90,118,4263,2138,93,0,24,11,35
135713,Photo,1,10,6,4,0,39984,112830,2105,1921,3932,70249,21328,1609,24,302,41,367
135713,Photo,2,10,5,11,0,4010,7444,477,370,534,4406,2362,354,2,166,32,200
135713,Photo,2,10,5,4,1,6564,12097,806,602,957,7682,4024,563,47,358,49,454
135713,Photo,1,10,4,10,0,8612,20151,813,727,1390,16890,7208,630,7,161,25,193
135713,Photo,2,10,4,1,0,5568,10282,746,545,867,5696,3162,537,13,319,55,387
135700,Photo,2,9,3,7,0,1685,2999,322,295,424,1794,953,237,0,54,16,70
135700,Photo,2,9,2,11,0,3756,7094,469,408,613,4935,2556,365,16,117,30,163
135700,Photo,3,9,2,2,0,2656,4862,390,309,445,3273,1722,309,1,115,21,137
135700,Photo,2,9,1,10,0,5086,9493,622,509,757,6200,3298,489,30,187,35,252
135617,Photo,2,9,1,3,1,2055,3915,346,288,412,2970,1507,277,1,84,13,98
135617,Photo,3,9,7,9,0,9384,14948,757,452,652,11148,7020,604,6,363,40,409
135617,Photo,2,9,7,3,0,3992,7255,598,447,688,4428,2420,435,6,244,32,282
135617,Photo,3,9,6,10,0,7512,13633,769,614,951,5503,3260,530,22,290,98,410
135617,Status,2,9,6,4,0,11096,21080,1843,1724,2106,16095,8120,1604,4,243,41,288
135428,Photo,1,9,5,10,0,1060,2004,266,251,337,1705,870,204,0,18,,18
135428,Photo,2,9,5,3,1,2790,4879,435,360,513,3501,1999,351,0,113,19,132
135428,Photo,1,9,4,10,1,13856,37716,519,450,672,26832,9064,389,2,77,5,84
135428,Photo,3,9,4,2,1,10748,19724,892,498,719,13674,7624,704,8,485,64,557
135428,Photo,1,9,3,10,0,41984,68290,3370,2420,4074,34802,20928,2126,144,1622,208,1974
135428,Photo,2,9,3,2,1,2522,4583,455,390,547,3031,1674,333,6,99,16,121
135195,Photo,3,9,2,9,0,4480,8039,572,430,599,5014,2704,416,3,188,26,217
135195,Photo,1,9,2,2,0,1543,2874,360,334,463,2373,1228,267,2,30,6,38
135195,Status,2,9,1,10,0,21256,41906,4840,4754,5906,35455,17592,4318,38,163,27,228
135195,Photo,1,9,1,4,0,4484,7829,545,424,629,4208,2412,382,6,179,40,225
135195,Photo,2,9,7,3,0,4398,8105,584,446,669,4799,2616,431,5,204,34,243
135195,Status,2,9,6,10,1,13216,24738,2675,2584,2969,19599,10232,2342,2,165,22,189
135195,Photo,3,9,6,3,1,22304,37159,1805,984,1618,22864,13304,1349,29,1047,98,1174
135195,Photo,1,9,5,11,0,6208,10830,644,473,678,6866,4016,495,2,234,40,276
135195,Photo,2,9,5,2,0,4518,8533,626,482,729,4215,2254,439,7,250,42,299
135195,Photo,2,9,4,10,0,3582,6518,537,430,597,3857,2124,404,4,154,36,194
134879,Status,2,9,4,4,1,9124,17776,1476,1397,1797,13887,7092,1331,20,150,29,199
134879,Photo,1,9,3,10,0,14152,38806,631,549,836,19409,6632,404,4,102,8,114
134879,Photo,3,9,3,2,1,4260,7989,588,435,622,4578,2432,436,1,226,44,271
134879,Video,1,9,2,10,0,30624,56950,2080,1956,3253,32033,15744,1376,6,345,121,472
134879,Photo,2,9,2,3,0,2363,4223,393,348,476,3332,1788,297,11,68,11,90
134879,Photo,1,9,1,10,0,2232,4005,374,335,458,3247,1740,278,0,62,10,72
134879,Photo,2,9,1,6,0,4048,7217,544,405,602,4046,2280,368,5,223,35,263
134879,Photo,2,9,7,10,0,1804,2968,330,280,352,2293,1354,234,0,61,6,67
134879,Photo,3,9,7,4,1,2351,4028,371,298,392,3112,1791,288,1,104,12,117
133679,Photo,2,9,2,10,0,3100,5388,518,422,609,3927,2274,367,3,146,15,164
133679,Photo,3,9,2,3,1,2360,4004,436,365,486,2757,1603,300,2,102,15,119
133679,Photo,3,8,1,10,0,19648,33643,1359,695,990,24034,13528,1020,9,766,43,818
133679,Photo,2,8,1,4,0,2295,3721,377,324,402,3121,1882,269,0,63,7,70
133594,Photo,2,8,7,10,1,3934,6330,512,437,599,5010,3082,384,3,113,17,133
133594,Photo,1,8,7,3,0,34512,76659,1666,1333,1977,54860,22816,1278,6,442,42,490
133594,Photo,2,8,6,10,0,5282,8730,703,530,772,5123,3244,470,9,278,43,330
133594,Photo,1,8,6,8,0,1809,3130,399,359,494,2541,1435,289,2,64,7,73
133594,Photo,2,8,5,13,0,1920,3124,365,331,428,2541,1519,251,1,52,7,60
133451,Photo,1,8,4,9,1,1954,3530,356,333,443,3295,1772,252,0,30,2,32
132817,Photo,3,8,4,10,0,33536,64850,1954,1016,1678,50076,24448,1564,33,1155,102,1290
132817,Photo,2,8,4,3,1,4204,7191,498,408,596,5161,2974,387,2,139,25,166
132817,Photo,1,8,3,9,0,3376,6557,428,409,631,5700,2806,331,0,40,5,45
132817,Status,2,8,3,2,1,9236,16054,1151,1130,1560,14014,7880,1075,2,53,15,70
132817,Photo,3,8,2,10,0,72864,205934,946,759,1158,122474,30912,646,4,220,19,243
132817,Photo,3,8,2,3,0,3358,5682,394,323,523,4200,2426,298,2,114,16,132
132201,Photo,1,8,1,12,1,3254,5644,371,344,513,5069,2846,283,0,39,3,42
132201,Photo,1,8,1,3,0,50640,121234,2240,1577,2779,92348,34880,1790,4,859,68,931
132201,Photo,2,8,7,10,0,3734,6218,529,434,794,4831,2868,389,5,137,20,162
132201,Photo,3,8,7,3,0,2594,4220,347,315,529,3418,2067,248,1,54,11,66
132201,Photo,2,8,6,10,1,2232,3772,376,322,440,2205,1306,257,2,74,22,98
132201,Photo,3,8,6,3,1,22120,54734,979,906,1751,46700,17528,796,6,98,3,107
132201,Photo,3,8,5,10,0,7980,12978,630,398,521,9342,5372,467,2,264,21,287
132201,Photo,2,8,5,1,0,1659,2845,345,321,424,1604,915,239,3,36,11,50
132201,Photo,3,8,4,11,1,1006,1594,277,268,354,1055,651,187,1,11,3,15
132201,Photo,3,8,4,3,1,12728,21685,844,461,683,15779,8844,657,4,435,31,470
131956,Photo,1,8,3,10,0,28880,64746,1062,991,1971,40181,15808,740,2,114,10,126
131956,Photo,2,8,3,4,0,1330,2327,363,351,433,1475,827,230,2,17,9,28
131956,Status,2,8,2,12,0,14424,26000,304,286,383,25539,14056,291,41,15,1,57
131956,Photo,1,8,2,7,0,14200,26728,1393,1354,3214,25610,13376,1233,3,87,10,100
131956,Photo,3,8,1,12,0,5746,9874,769,632,1063,7407,4288,584,16,227,28,271
131956,Photo,2,8,1,4,0,2540,4372,389,330,458,3655,2063,279,2,86,8,96
131956,Photo,3,8,7,10,0,4324,7241,548,431,676,4972,3008,401,6,179,27,212
131808,Status,2,8,7,4,0,8260,14305,997,953,1211,12905,7360,956,1,74,11,86
131808,Status,2,8,6,10,1,20168,35904,3370,3244,5106,26881,15056,2806,18,332,54,404
